dataset,total_points,anomaly_point_count,anomaly_event_count,anomaly_point_ratio,anomaly_event_frequency_per_1k,mean_event_len,median_event_len,max_event_len,mean_event_amplitude,max_event_amplitude,mean_event_abs_slope,max_event_abs_slope,morphology_label,fixed_rows,evidence_rows,delta_mean_test_f1,delta_mean_point_f1_fixed,delta_mean_point_f1,delta_mean_event_f1pa,delta_mean_token_count_detection,delta_mean_prompt_rows,fixed_mean_heldout_support_gap,evidence_mean_heldout_support_gap,delta_mean_heldout_support_gap,fixed_mean_local_support_gap,evidence_mean_local_support_gap,delta_mean_local_support_gap
02e99bd4f6cfb33f,128562,10550,64,0.08206157340427186,0.49781428415861606,164.84375,138.0,840.0,2.837253887205953,6.656010866161998,0.32015863656591603,0.822265625,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
046ec29ddf80d62e,8784,80,1,0.009107468123861567,0.11384335154826958,80.0,80.0,80.0,2.40928875,2.40928875,0.06792586234177216,0.06792586234177216,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
07927a9a18fa19ae,10960,130,10,0.011861313868613138,0.9124087591240876,13.0,11.5,27.0,0.7340705569828,2.8062604822079997,0.1062394028159124,0.21652787186999997,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
09513ae3e75778a3,128971,238,27,0.0018453760922998194,0.2093493886222484,8.814814814814815,3.0,68.0,126429959.1111111,398989184.0,82709594.55375366,341661760.0,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
18fbb1d5a5dc099d,129128,7863,66,0.06089306734403073,0.5111207484046837,119.13636363636364,6.0,3814.0,92.6097422191515,507.400012248,23.347271772989235,112.71111382222222,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
1c35dbf57f55f5e4,128853,9581,29,0.0743560491412695,0.22506266831195237,330.37931034482756,7.0,6629.0,1969.9344609482755,16069.636719999999,725.7281476066705,9547.145833333334,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
40e25005ff8992bd,100254,654,58,0.006523430486564127,0.5785305324475831,11.275862068965518,4.0,95.0,1369.4310344827586,2819.0,823.7509614500228,1900.3333333333333,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
54e8a140f6237526,8248,4,1,0.00048496605237633366,0.12124151309408342,4.0,4.0,4.0,1.7261391484470006,1.7261391484470006,1.0832036935676672,1.0832036935676672,spike,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
71595dd7171f4540,147668,1113,69,0.007537177993878159,0.46726440393314733,16.130434782608695,4.0,202.0,1453.2028985507247,2731.0,797.6847335689786,1824.3333333333333,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
769894baefea4e9e,8784,9,3,0.0010245901639344263,0.34153005464480873,3.0,3.0,3.0,0.05297240860213007,0.0746987026464101,0.050843239158844,0.07447259615685654,spike,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
76f4550c43334374,8784,87,2,0.009904371584699454,0.22768670309653916,43.5,43.5,83.0,0.086280334418083,0.099867630885527,0.029394989049465782,0.05590056733674006,mixed,0,0,nan,nan,nan,nan,nan,nan,,,nan,,,nan
